repro_id,repro_path,config_label,config_us,rounds,speedup_vs_default,speedup_vs_best_compile_baseline,config_over_sol,best_3config_label,best_3config_us,best_3config_over_sol,round_count,rep_per_round,total_bytes
sum_sum_sum_1c9995bc990f,repros/canonical/sum_sum_sum_1c9995bc990f/repro.py,default,96.12800180912018,"[96.12800180912018, 96.12800180912018, 96.16000205278397, 96.25600278377533, 96.22400254011154]",1.0,0.8725032905541912,2.5500849248780235,combo_persistent,86.11200004816055,2.2843802954518075,5,300,213987328
sum_sum_sum_1cad42039094,repros/canonical/sum_sum_sum_1cad42039094/repro.py,combo_looped,146.43199741840363,"[146.43199741840363, 146.5280055999756, 147.23199605941772, 147.23199605941772, 147.2640037536621]",1.0559440758694134,0.9916958425788029,2.2311067186227507,combo_persistent,144.31999623775482,2.1989272762402177,5,300,411447424
sum_sum_sum_1cad42039094,repros/canonical/sum_sum_sum_1cad42039094/repro.py,combo_persistent,144.31999623775482,"[144.3520039319992, 144.31999623775482, 144.51199769973755, 144.3520039319992, 144.3839967250824]",1.0713969250453608,1.0062084731564847,2.1989272762402177,combo_persistent,144.31999623775482,2.1989272762402177,5,300,411447424
sum_sum_sum_1cad42039094,repros/canonical/sum_sum_sum_1cad42039094/repro.py,default,154.62400019168854,"[155.45600652694702, 154.6880006790161, 154.62400019168854, 155.45600652694702, 155.39200603961945]",1.0,0.9391556477669412,2.3559239221621397,combo_persistent,144.31999623775482,2.1989272762402177,5,300,411447424
sum_sum_sum_1d10e6314ef6,repros/canonical/sum_sum_sum_1d10e6314ef6/repro.py,combo_looped,54.4000007212162,"[55.07199838757515, 55.16799911856651, 55.1999993622303, 55.16799911856651, 54.4000007212162]",1.2617647097091542,0.9770587861073243,2.599388516927483,combo_persistent,54.4000007212162,2.599388516927483,5,300,106999808
sum_sum_sum_1d10e6314ef6,repros/canonical/sum_sum_sum_1d10e6314ef6/repro.py,combo_persistent,54.4000007212162,"[55.135998874902725, 55.1999993622303, 54.4000007212162, 55.23199960589409, 55.135998874902725]",1.2617647097091542,0.9770587861073243,2.599388516927483,combo_persistent,54.4000007212162,2.599388516927483,5,300,106999808
sum_sum_sum_1d10e6314ef6,repros/canonical/sum_sum_sum_1d10e6314ef6/repro.py,default,68.64000111818314,"[68.80000233650208, 69.18399780988693, 68.67200136184692, 68.70400160551071, 68.64000111818314]",1.0,0.7743589423518934,3.279816697482314,combo_persistent,54.4000007212162,2.599388516927483,5,300,106999808
sum_sum_sum_1d1edd983280,repros/canonical/sum_sum_sum_1d1edd983280/repro.py,combo_looped,637.7919912338257,"[638.1760239601135, 638.8480067253113, 638.9120221138, 638.0159854888916, 637.7919912338257]",1.2428377737077227,1.0883046704722656,2.6599492452191726,combo_looped,637.7919912338257,2.6599492452191726,5,200,1617230848
sum_sum_sum_1d1edd983280,repros/canonical/sum_sum_sum_1d1edd983280/repro.py,combo_persistent,669.75998878479,"[671.6480255126953, 669.75998878479, 671.6799736022949, 671.7759966850281, 671.7439889907837]",1.1835164711942323,1.0363593144896175,2.793273670934141,combo_looped,637.7919912338257,2.6599492452191726,5,200,1617230848
sum_sum_sum_1d1edd983280,repros/canonical/sum_sum_sum_1d1edd983280/repro.py,default,792.6719784736633,"[793.7920093536377, 792.6719784736633, 793.6319708824158, 793.8560247421265, 793.5680150985718]",1.0,0.8756610826411859,3.305885398103734,combo_looped,637.7919912338257,2.6599492452191726,5,200,1617230848
sum_sum_sum_1dd09876ea9d,repros/canonical/sum_sum_sum_1dd09876ea9d/repro.py,combo_looped,151.48800611495972,"[151.48800611495972, 153.43999862670898, 151.48800611495972, 151.58399939537048, 153.4080058336258]",1.0804815925103883,0.9850020479652747,1.527589566542831,combo_looped,151.48800611495972,1.527589566542831,5,300,641992712
sum_sum_sum_1dd09876ea9d,repros/canonical/sum_sum_sum_1dd09876ea9d/repro.py,combo_persistent,156.47999942302704,"[157.6319932937622, 157.56799280643463, 156.80000185966492, 157.53600001335144, 156.47999942302704]",1.0460122871730313,0.9535787117561382,1.577928316713378,combo_looped,151.48800611495972,1.527589566542831,5,300,641992712
sum_sum_sum_1dd09876ea9d,repros/canonical/sum_sum_sum_1dd09876ea9d/repro.py,default,163.68000209331512,"[163.68000209331512, 165.69599509239197, 165.69599509239197, 165.72800278663635, 165.75999557971954]",1.0,0.9116324190926042,1.6505324075604517,combo_looped,151.48800611495972,1.527589566542831,5,300,641992712
sum_sum_sum_1f1e92d38dc4,repros/canonical/sum_sum_sum_1f1e92d38dc4/repro.py,combo_looped,525.1520276069641,"[525.1520276069641, 526.2719988822937, 525.4080295562744, 526.2719988822937, 526.0800123214722]",1.021570862061549,1.0137102071155515,2.0776047879340025,combo_persistent,522.1440196037292,2.0657045162009915,5,200,1712592900
sum_sum_sum_1f1e92d38dc4,repros/canonical/sum_sum_sum_1f1e92d38dc4/repro.py,combo_persistent,522.1440196037292,"[522.1440196037292, 522.1440196037292, 522.1760272979736, 522.1440196037292, 522.2079753875732]",1.0274560071816343,1.0195500679613745,2.0657045162009915,combo_persistent,522.1440196037292,2.0657045162009915,5,200,1712592900
sum_sum_sum_1f1e92d38dc4,repros/canonical/sum_sum_sum_1f1e92d38dc4/repro.py,default,536.4800095558167,"[536.4800095558167, 536.575973033905, 536.512017250061, 536.5440249443054, 536.512017250061]",1.0,0.9923053258095729,2.1224205142329406,combo_persistent,522.1440196037292,2.0657045162009915,5,200,1712592900
sum_sum_sum_2005ccbce613,repros/canonical/sum_sum_sum_2005ccbce613/repro.py,combo_looped,80.83199709653854,"[81.02399855852127, 80.83199709653854, 80.89599758386612, 80.83199709653854, 80.9599980711937]",1.1262866635690174,1.012668254941637,2.556680183648713,combo_looped,80.83199709653854,2.556680183648713,5,300,176242688
sum_sum_sum_2005ccbce613,repros/canonical/sum_sum_sum_2005ccbce613/repro.py,combo_persistent,80.86399734020233,"[80.89599758386612, 80.86399734020233, 80.9599980711937, 80.86399734020233, 81.05599880218506]",1.1258409590669527,1.0122675125596796,2.557692337149627,combo_looped,80.83199709653854,2.556680183648713,5,300,176242688
sum_sum_sum_2005ccbce613,repros/canonical/sum_sum_sum_2005ccbce613/repro.py,default,91.0400003194809,"[91.13600105047226, 91.16800129413605, 91.0400003194809, 91.13600105047226, 91.16800129413605]",1.0,0.8991212341382591,2.879554793854732,combo_looped,80.83199709653854,2.556680183648713,5,300,176242688
sum_sum_sum_21910bdd88af,repros/canonical/sum_sum_sum_21910bdd88af/repro.py,combo_looped,105.40799796581268,"[106.39999806880951, 105.40799796581268, 105.40799796581268, 106.27199709415436, 106.36799782514572]",1.1353977368069348,0.9690346547285473,4.518518299681615,combo_looped,105.40799796581268,4.518518299681615,5,300,113394692
sum_sum_sum_21910bdd88af,repros/canonical/sum_sum_sum_21910bdd88af/repro.py,combo_persistent,105.53599894046783,"[105.53599894046783, 106.33599758148193, 106.33599758148193, 106.27199709415436, 106.30399733781815]",1.1340206520359408,0.9678593460042717,4.524005309752178,combo_looped,105.40799796581268,4.518518299681615,5,300,113394692
sum_sum_sum_21910bdd88af,repros/canonical/sum_sum_sum_21910bdd88af/repro.py,default,119.6800023317337,"[119.74400281906128, 119.87199634313583, 119.6800023317337, 119.84000355005264, 119.71200257539749]",1.0,0.8534759435523904,5.130315451179224,combo_looped,105.40799796581268,4.518518299681615,5,300,113394692
