repro_id,best_compile_us,sol_us,gap_vs_sol,total_bytes_mb
pointwise_fe3b8dac57c4,7.8,2.1,3.74,7.9
var_mean_c0993161a0af,15.7,4.2,3.72,16.1
var_mean_6084e124876c,18.3,5.0,3.69,18.9
sum_d657e5a1c5df,13.1,3.6,3.66,13.6
var_mean_mean_8d6fc761298a,31.6,8.6,3.66,32.8
pointwise_96ec527020cd,26.2,7.2,3.65,27.3
sum_cb19b2c26400,12.1,3.3,3.64,12.6
amax_sum_sum_031b4da8fbb0,13.9,3.8,3.63,14.5
pointwise_557274333bb2,15.2,4.2,3.59,16.1
sum_4de5b759d4d1,14.0,3.9,3.58,14.8
var_mean_e92ed08dee3a,23.5,6.7,3.52,25.3
var_mean_var_mean_mean_93065d5c677b,26.2,7.5,3.5,28.5
sum_sum_f669fb74a93c,15.4,4.4,3.49,16.8
var_mean_e44de9a60b6b,24.5,7.0,3.48,26.8
mean_5c93e9826aa8,62.1,17.9,3.46,68.2
pointwise_6a5649feb1f2,26.4,7.6,3.46,28.9
sum_sum_67d7103962e7,140.2,40.6,3.46,154.1
var_mean_var_mean_73e1a842318f,43.9,12.7,3.46,48.2
sum_sum_9c8d365c6ff7,11.4,3.3,3.45,12.6
pointwise_1c65af29b270,7.1,2.1,3.43,7.9
var_mean_mean_e8eb2875e359,19.3,5.6,3.43,21.3
mean_d0fc206717a8,61.2,17.9,3.41,68.2
mean_148ad2fc17ca,29.3,8.6,3.4,32.8
mean_90c4736187a1,11.5,3.4,3.36,13.0
sum_096e9f1570b5,11.2,3.3,3.34,12.7
mean_b22538109e2c,25.5,7.7,3.33,29.1
sum_5a4992885bd6,188.2,56.5,3.33,214.6
pointwise_226a109e3e14,9.1,2.8,3.3,10.5
var_mean_d30f3928376b,9.1,2.8,3.3,10.5
var_mean_var_mean_var_mean_9267280d8024,59.3,17.9,3.3,68.2
sum_mean_6ea3cb4a159b,11.2,3.4,3.29,12.9
var_mean_0a0eec8ae477,28.7,8.7,3.29,33.1
var_mean_var_mean_var_mean_0407b3e7c77f,196.5,59.8,3.28,227.3
var_mean_94d545103c46,7.2,2.2,3.26,8.4
var_mean_var_mean_var_mean_97062ec87370,58.6,17.9,3.26,68.2
pointwise_3bd84c5c45de,20.6,6.3,3.25,24.1
var_mean_3dd5772aac72,7.1,2.2,3.21,8.4
var_mean_8f9c444fb5ff,7.1,2.2,3.21,8.4
var_mean_91cae54437d5,7.1,2.2,3.21,8.4
mean_01c500735869,7.1,2.2,3.2,8.4
var_mean_b1feb9d09685,7.1,2.2,3.2,8.4
var_mean_mean_25b1bb0b8d63,27.6,8.6,3.2,32.8
var_mean_de1f9ecb99e2,7.1,2.2,3.19,8.4
pointwise_88361ec33b7f,6.8,2.2,3.13,8.2
pointwise_c9ccde11c148,6.9,2.2,3.13,8.4
pointwise_fc46ae4ec316,11.8,3.8,3.11,14.5
var_mean_mean_61303c3fa6f4,24.0,7.8,3.09,29.5
mean_e3d4b04ad056,20.4,6.6,3.08,25.2
any_amax_sum_2da4fabb8348,20.2,6.6,3.05,25.2
