dir,shape_hash,triton_us,cutile_us,cutile_over_triton,triton_status,cutile_status,compile_us_triton,compile_us_cutile,triton_ratio,cutile_ratio
pointwise_04d85912d998,4b053b17,5.7,5.86,1.0280701754385966,AT_FLOOR,AT_FLOOR,5.82,5.73,1.022,0.978
pointwise_04d85912d998,4c099e68,5.73,5.73,1.0,AT_FLOOR,AT_FLOOR,5.47,5.7,0.955,0.994
pointwise_04d85912d998,4d209e5f,5.79,5.86,1.0120898100172713,AT_FLOOR,AT_FLOOR,5.6,5.7,0.967,0.973
pointwise_04d85912d998,4e43fcee,5.66,5.73,1.0123674911660778,AT_FLOOR,AT_FLOOR,5.41,5.79,0.955,1.011
pointwise_04d85912d998,4e4f2956,5.7,5.89,1.0333333333333332,AT_FLOOR,AT_FLOOR,5.82,5.66,1.022,0.962
pointwise_04d85912d998,4eb41506,5.66,5.76,1.017667844522968,AT_FLOOR,AT_FLOOR,5.66,5.73,1.0,0.994
pointwise_04d85912d998,4ef768dd,5.6,5.73,1.0232142857142859,AT_FLOOR,AT_FLOOR,5.66,5.7,1.011,0.994
pointwise_04d85912d998,4f402cc1,5.57,5.82,1.0448833034111311,AT_FLOOR,AT_FLOOR,5.7,5.79,1.023,0.995
pointwise_04d85912d998,4f9b1271,23.55,24.19,1.027176220806794,BAD_ORACLE,AT_FLOOR,22.3,23.81,0.947,0.984
pointwise_04d85912d998,4fa33397,9.5,9.6,1.0105263157894737,BAD_ORACLE,BAD_ORACLE,8.99,8.93,0.946,0.93
pointwise_04d85912d998,4fd1884d,6.91,7.04,1.0188133140376265,AT_FLOOR,AT_FLOOR,6.91,6.78,1.0,0.964
pointwise_04d85912d998,500e684c,5.6,5.57,0.9946428571428573,AT_FLOOR,AT_FLOOR,5.44,5.66,0.971,1.017
